text,category,priority
Outlook keeps crashing with error 0x80070005 whn sending emails.,Software Bug,Low
My laptop keeps shutting down randoly while working on VPN.,Hardware Issue,Medium
"Laptop is extremey slow, apps take minues to opn. This is delayig critical month-end processing.",Performance Issue,High
"Hi team, Repors in BI dashboard take over 5 minutes to load.",Performance Issue,Medium
Requesting VPN access for contractor m.garcia for the next 3 months.,Access Request,Medium
Noticed unknown sotfware installed that I did not approve. pls,Security Incident,Medium
Password reset link for my account has expired multiple times.,Account Issue,Low
"Hi team, Excel plugin for reportnig fails with stacktrace: ORA-3627",Software Bug,High
Mointor flckers and sometimes goes completely back during meetings. This is blocking my work and I have deadlines today. urgnt,Hardware Issue,Critical
Outlok keeps crsahing with error 0x80070005 when sending emails.,Software Bug,Low
Getting 'account disabled' message when rtying to sign in.,Account Issue,Low
Monior flickers and sometimes goes completely black during meetings.,Hardware Issue,Medium
Users in branch office report 'DNS_PROBEFINISHED_NXDOMAIN' on intranet. Entire team is unable to access critical systems.,Network Problem,Critical
"Hi taem, Please grant readonly access to Salesforce for user asmith.",Access Request,Medium
"Lapotp is extremeyl slow, apps take minutes to open.",Performance Issue,Low
"I lsot access to Confluence after role change, getting acess denied.",Access Request,Medium
Getting intermittent packet loss when accessing remote desktop. Entire team is unable to access critical system.,Network Problem,Critical
Moniotr flickers and sometimes goes competely black during meetings.,Hardware Issue,Medium
Password reset link for my account has expired multiple times urgnt,Account Issue,High
Getting 'account disabled' message wehn trying to sign in.,Account Issue,Low
"Hi team, USB ports on the doking staton stopped working after last restatr. This is blocking my work and I have deadlines today.",Hardware Issue,High
USB ports on the docking station stopped working after last restart.,Hardware Issue,Medium
"Hi tea, Cannot reach VPN, connection timed out while pinging 10 pls",Network Problem,Medium
Printer in floor 3 is jammed and shows eror code E226.,Hardware Issue,Low
"Laptop is extremey slow, apps take minuets to open.",Performance Issue,Medium
WiFi keeps dropping every few minutes in meeting room A. Entire tem is unable to access crtiical systems.,Network Problem,Critical
"Hi team, New joiner jdoe needs access to Jira with standard permissions",Access Request,Medium
Getting 'account disalbed' mssage when tryig to sign in. eNed urgent help to join production clal.,Account Issue,High
"Hi team, Noticed unknown software installed that I did not aprpove pls",Security Incident,Medium
USB prots on the dockign staion stopped working after last retsart,Hardware Issue,Medium
Requesting VPN access for contractor jdoe for the nxt 3 omnths.,Access Request,Low
Latency to our database sevrer at 10,Network Problem,High
Getting 'account disable' mesasge when trying to sgin in.,Account Issue,Medium
New joiner m.garcia needs access to Jira with standard permissions.,Access Request,Low
"Cannot reach VPN, connection timed out while pinging 10..7.50.",Network Problem,Low
